"ID","ACCOUNT ID","?CONTACT NAME","CONTACT TITLE","ACCOUNT NAME","CONTACT MAILING STREET","CONTACT MAILING CITY","CONTACT MAILING ZIP","CONTACT MAILING STATE","CONTACT MAILING COUNTRY","ACCOUNT BILLING STREET","ACCOUNT BILLING CITY","ACCOUNT BILLING ZIP","ACCOUNT BILLING STATE","ACCOUNT BILLING COUNTRY","CONTACT PHONE NUMBER","CONTACT EMAIL ","ACCOUNT RATING","STATUS"
"0036F00002XzNFgQAN","0016F00002NE8EZQA1","Acton Mercado","Director of Purchasing","BigRock Sports","P.O. Box 448, 6989 Vel St.","Baltimore","61123","MD","USA","P.O. Box 448, 6989 Vel St.","Baltimore","61123","MD","USA","(891) 576-9079","acton.mercado@bigrocksports.com","Cold","Item Created"
"0036F00002XzNFhQAN","0016F00002NE8EaQAL","Adam Hogan","Health and Wellness Coordinator","Inchcom","396-7280 In Road","Sterling Heights","47310","MI","USA","396-7280 In Road","Sterling Heights","47310","MI","USA","(903) 929-8754","adam.hogan@inchcom.com","Warm","Item Created"
"0036F00002XzNFiQAN","0016F00002NE8EbQAL","Adria Battle","Accountant","Rough Water Sports","Ap #995-3851 Libero Rd.","Wilmington","39126","DE","USA","Ap #995-3851 Libero Rd.","Wilmington","39126","DE","USA","(972) 751-7300","adria.battle@roughwatersports.com","Cold","Item Created"
"0036F00002XzNFjQAN","0016F00002NE8EcQAL","Aubrey Weaver","PE Dept. Head","Columbus Elementary School","P.O. Box 237, 9120 Proin Rd.","Columbus","35172","OH","USA","P.O. Box 237, 9120 Proin Rd.","Columbus","35172","OH","USA","(303) 807-6256","aubrey.weaver@columbus.k12.edu","Hot","Item Created"
"0036F00002XzNFkQAN","0016F00002NE8EdQAL","Beverly Fletcher","Health and Wellness Coordinator","Warecan","P.O. Box 787, 4604 Eu, Rd.","Hilo","90955","HI","USA","P.O. Box 787, 4604 Eu, Rd.","Hilo","90955","HI","USA","(402) 780-0836","beverly.fletcher@warecan.com","Warm","Item Created"
"0036F00002XzNFlQAN","0016F00002NE8EeQAL","Blaine Schroeder","PE Teacher","Shreveport High School","6484 Lorem Road","Shreveport","65747","LA","USA","6484 Lorem Road","Shreveport","65747","LA","USA","(799) 585-8876","blaine.schroeder@shreveport.k12.edu","Hot","Item Created"
"0036F00002XzNFmQAN","0016F00002NE8EfQAL","Brenda Mullins","Health and Wellness Coordinator","Treeholdings","Ap #155-9419 Sem, Av.","Austin","49243","TX","USA","Ap #155-9419 Sem, Av.","Austin","49243","TX","USA","(311) 413-8871","brenda.mullins@treeholdings.com","Warm","Item Created"
"0036F00002XzNFnQAN","0016F00002NE8EgQAL","Brock Bryan","Physical Education Chair","University of Annapolis","Ap #508-5282 Placerat Rd.","Annapolis","77098","MD","USA","Ap #508-5282 Placerat Rd.","Annapolis","77098","MD","USA","(160) 379-0840","brock.bryan@uoa.edu","Warm","Item Created"
"0036F00002XzNFoQAN","0016F00002NE8EhQAL","Brynn Ferguson","Physical Education Chair","University of Waterbury","Ap #723-4765 Congue Avenue","Waterbury","51925","CT","USA","Ap #723-4765 Congue Avenue","Waterbury","51925","CT","USA","(990) 303-8972","brynn.ferguson@uow.edu","Warm","Item Created"
"0036F00002XzNFpQAN","0016F00002NE8EiQAL","Carly Farrell","Director of Purchasing","Holdings Sports","Ap #852-5945 Ante, Rd.","Henderson","32690","NV","USA","Ap #852-5945 Ante, Rd.","Henderson","32690","NV","USA","(477) 430-7202","carly.farrell@holdingssports.com","Cold","Item Created"
"0036F00002XzNFqQAN","0016F00002NE8EjQAL","Charde Matthews","PE Dept. Head","Fort Collins Middle School","Ap #816-2274 Phasellus Street","Fort Collins","91838","CO","USA","Ap #816-2274 Phasellus Street","Fort Collins","91838","CO","USA","(247) 772-7465","charde.matthews@fortcollins.k12.edu","Hot","Item Created"
"0036F00002XzNFrQAN","0016F00002NE8EkQAL","Charity Burke","Owner","Sleek Sports","9284 Nulla Road","Stamford","86105","CT","USA","9284 Nulla Road","Stamford","86105","CT","USA","(307) 203-4877","charity.burke@sleeksports.com","Cold","Item Created"
